PNL = 330.1765093689835 | MaxDD = 38.28377401907059,,,,,,,
l_s,entry_price,exit_price,trade_pnl,curr_balance,entry_time,exit_time,duration
1,9890,9608,-2.9,97,2020-02-23T11:00:00.000,2020-02-24T23:00:00.000,1 days
1,6642,7180,7.8,105,2020-04-02T03:00:00.000,2020-04-09T15:00:00.000,7 days
1,6888,6964,1.1,106,2020-04-16T11:00:00.000,2020-04-20T15:00:00.000,4 days
1,6935,8818,28.7,135,2020-04-22T11:00:00.000,2020-05-03T19:00:00.000,11 days
1,9280,9111,-2.5,132,2020-05-23T07:00:00.000,2020-05-24T15:00:00.000,1 days
1,9495,9446,-0.8,131,2020-05-28T19:00:00.000,2020-06-01T03:00:00.000,3 days
1,9559,9294,-3.7,128,2020-06-16T07:00:00.000,2020-06-17T23:00:00.000,1 days
1,9687,9337,-4.7,123,2020-06-23T03:00:00.000,2020-06-24T15:00:00.000,1 days
1,9340,9211,-1.8,121,2020-07-07T03:00:00.000,2020-07-09T19:00:00.000,2 days
1,9301,10989,21.9,143,2020-07-13T03:00:00.000,2020-07-31T07:00:00.000,18 days
1,11762,11595,-2.1,141,2020-08-24T11:00:00.000,2020-08-25T11:00:00.000,1 days
1,11749,11417,-4.1,137,2020-08-31T19:00:00.000,2020-09-02T15:00:00.000,1 days
1,10998,10829,-2.2,135,2020-09-16T19:00:00.000,2020-09-20T19:00:00.000,4 days
1,10645,10691,0.5,135,2020-09-24T23:00:00.000,2020-09-29T03:00:00.000,4 days
1,10785,10565,-2.9,132,2020-10-06T03:00:00.000,2020-10-06T23:00:00.000,0 days
1,10893,11362,5.6,138,2020-10-08T19:00:00.000,2020-10-14T15:00:00.000,5 days
1,17155,18624,11.7,149,2020-11-27T03:00:00.000,2020-12-02T07:00:00.000,5 days
1,18538,22663,33.1,183,2020-12-10T03:00:00.000,2020-12-21T15:00:00.000,11 days
1,35228,32986,-11.7,171,2021-01-20T23:00:00.000,2021-01-23T03:00:00.000,2 days
1,37066,33178,-18.0,153,2021-01-29T15:00:00.000,2021-02-01T19:00:00.000,3 days
1,34822,37966,13.7,166,2021-02-02T15:00:00.000,2021-02-07T19:00:00.000,5 days
1,48930,49470,1.7,168,2021-02-24T03:00:00.000,2021-02-25T23:00:00.000,1 days
1,47621,48020,1.3,169,2021-02-26T19:00:00.000,2021-03-04T23:00:00.000,6 days
1,50085,57831,26.0,195,2021-03-07T11:00:00.000,2021-03-15T11:00:00.000,8 days
1,55784,58657,9.9,205,2021-03-27T23:00:00.000,2021-04-03T23:00:00.000,7 days
1,57795,61514,13.0,218,2021-04-08T19:00:00.000,2021-04-16T11:00:00.000,7 days
1,57138,57215,0.1,219,2021-04-30T19:00:00.000,2021-05-04T03:00:00.000,3 days
1,57596,55770,-7.1,211,2021-05-05T19:00:00.000,2021-05-07T07:00:00.000,1 days
1,56511,55828,-2.7,209,2021-05-07T15:00:00.000,2021-05-10T23:00:00.000,3 days
1,55793,56472,2.4,211,2021-05-11T11:00:00.000,2021-05-12T15:00:00.000,1 days
1,37806,35576,-12.6,198,2021-06-10T15:00:00.000,2021-06-12T07:00:00.000,1 days
1,37610,38768,6.0,204,2021-06-13T23:00:00.000,2021-06-16T19:00:00.000,2 days
1,36245,34192,-11.7,193,2021-06-29T19:00:00.000,2021-06-30T19:00:00.000,1 days
1,35566,34037,-8.4,184,2021-07-04T11:00:00.000,2021-07-06T15:00:00.000,2 days
1,34254,33525,-4.1,180,2021-07-12T03:00:00.000,2021-07-12T15:00:00.000,0 days
1,33634,38637,26.7,207,2021-07-24T03:00:00.000,2021-07-30T15:00:00.000,6 days
1,47789,46644,-5.1,202,2021-08-31T11:00:00.000,2021-09-07T19:00:00.000,7 days
1,48256,47303,-4.1,198,2021-09-15T19:00:00.000,2021-09-18T03:00:00.000,2 days
1,48622,47344,-5.3,192,2021-09-18T11:00:00.000,2021-09-19T15:00:00.000,1 days
1,47482,55369,31.8,224,2021-10-01T15:00:00.000,2021-10-12T23:00:00.000,11 days
1,59114,60524,5.2,229,2021-10-27T23:00:00.000,2021-10-31T15:00:00.000,3 days
1,62258,60943,-5.0,224,2021-11-01T11:00:00.000,2021-11-02T03:00:00.000,0 days
1,62243,64920,9.5,234,2021-11-05T07:00:00.000,2021-11-11T03:00:00.000,5 days
1,51082,49673,-6.6,227,2021-12-23T23:00:00.000,2021-12-26T07:00:00.000,2 days
1,39482,43471,22.8,250,2022-02-04T19:00:00.000,2022-02-11T03:00:00.000,6 days
1,41306,42550,7.3,257,2022-02-28T23:00:00.000,2022-03-03T19:00:00.000,2 days
1,41199,39220,-12.5,245,2022-03-09T07:00:00.000,2022-03-10T11:00:00.000,1 days
1,39731,47088,45.1,290,2022-03-15T23:00:00.000,2022-03-31T07:00:00.000,15 days
1,30625,30734,0.8,291,2022-05-30T11:00:00.000,2022-06-01T19:00:00.000,2 days
1,30158,29548,-6.1,284,2022-06-02T15:00:00.000,2022-06-07T07:00:00.000,4 days
1,31051,30006,-9.8,275,2022-06-07T23:00:00.000,2022-06-08T07:00:00.000,0 days
1,20554,21289,9.6,284,2022-07-07T03:00:00.000,2022-07-10T07:00:00.000,3 days
1,20603,20794,2.4,287,2022-07-14T23:00:00.000,2022-07-18T03:00:00.000,3 days
1,21516,22802,16.9,304,2022-07-27T19:00:00.000,2022-08-04T03:00:00.000,7 days
1,23108,24011,11.6,315,2022-08-10T15:00:00.000,2022-08-15T11:00:00.000,4 days
1,20092,19069,-16.3,299,2022-09-27T07:00:00.000,2022-09-27T23:00:00.000,0 days
1,19957,19954,-0.3,299,2022-10-04T11:00:00.000,2022-10-07T03:00:00.000,2 days
1,19525,19178,-5.5,293,2022-10-09T19:00:00.000,2022-10-17T07:00:00.000,7 days
1,19525,19210,-4.9,288,2022-10-17T19:00:00.000,2022-10-18T23:00:00.000,1 days
1,19492,20070,8.3,296,2022-10-23T23:00:00.000,2022-10-28T11:00:00.000,4 days
1,16933,20905,69.3,366,2023-01-06T23:00:00.000,2023-01-18T23:00:00.000,12 days
1,23311,24266,14.7,380,2023-02-15T23:00:00.000,2023-02-20T03:00:00.000,4 days
1,23491,23130,-6.1,374,2023-02-26T23:00:00.000,2023-03-01T03:00:00.000,2 days
1,23432,23343,-1.7,373,2023-03-01T07:00:00.000,2023-03-01T23:00:00.000,0 days
1,24009,26654,40.7,413,2023-03-13T19:00:00.000,2023-03-22T23:00:00.000,9 days
1,28132,29300,16.8,430,2023-04-09T23:00:00.000,2023-04-19T15:00:00.000,9 days
